group,n,corr_cy_px,bottom_over_top,px_median,verdict
Okutama 2.1.5,27864,0.6065,1.557,50.7,비스듬(아래가 큼)
Okutama 2.1.6,49558,0.1738,0.991,35.7,수직 하향에 가까움
Okutama 2.1.7,27858,0.6718,1.536,37.3,비스듬(아래가 큼)
Okutama 2.1.8,24428,0.7596,1.495,40.3,비스듬(아래가 큼)
Okutama 2.1.9,25592,0.7997,2.203,37.7,비스듬(아래가 큼)
Okutama 2.2.1,12670,0.0785,1.011,33.7,수직 하향에 가까움
Okutama 2.2.10,29882,0.0174,1.0,44.7,수직 하향에 가까움
Okutama 2.2.11,21358,0.609,1.433,35.3,비스듬(아래가 큼)
Okutama 2.2.2,12774,0.4279,1.541,37.7,비스듬(아래가 큼)
Okutama 2.2.3,10994,0.0519,0.977,43.0,수직 하향에 가까움
Okutama 2.2.4,23892,0.2815,9.455,34.0,수직 하향에 가까움
Okutama 2.2.5,18634,0.3189,1.184,26.0,비스듬(아래가 큼)
Okutama 2.2.6,21858,0.253,2.887,29.0,수직 하향에 가까움
Okutama 2.2.7,14842,0.3381,1.486,25.3,비스듬(아래가 큼)
Okutama 2.2.8,11106,0.4471,1.571,36.7,비스듬(아래가 큼)
Okutama 2.2.9,23168,0.4215,1.178,36.7,비스듬(아래가 큼)
SARD test,618,0.2568,1.524,55.5,수직 하향에 가까움
SARD train,4424,0.2956,1.477,57.0,수직 하향에 가까움
SARD valid,1312,0.3087,1.57,56.0,비스듬(아래가 큼)
VisDrone seq0000001,395,0.7376,1.625,30.0,비스듬(아래가 큼)
VisDrone seq0000011,357,0.8105,2.54,38.0,비스듬(아래가 큼)
VisDrone seq0000013,80,0.8657,4.091,23.0,비스듬(아래가 큼)
VisDrone seq0000016,81,0.8356,2.3,26.0,비스듬(아래가 큼)
VisDrone seq0000022,81,0.4979,2.167,37.0,비스듬(아래가 큼)
VisDrone seq0000030,118,0.6141,1.685,38.0,비스듬(아래가 큼)
VisDrone seq0000031,293,0.6217,1.205,39.0,비스듬(아래가 큼)
VisDrone seq0000036,152,0.4457,1.217,37.0,비스듬(아래가 큼)
VisDrone seq0000037,217,0.6965,1.482,34.0,비스듬(아래가 큼)
VisDrone seq0000039,179,0.74,1.696,30.0,비스듬(아래가 큼)
VisDrone seq0000040,305,0.4978,1.714,31.0,비스듬(아래가 큼)
VisDrone seq0000042,267,0.6624,1.676,20.0,비스듬(아래가 큼)
VisDrone seq0000043,149,0.7363,2.167,17.0,비스듬(아래가 큼)
VisDrone seq0000045,392,0.5369,1.5,19.0,비스듬(아래가 큼)
VisDrone seq0000046,175,0.3193,1.275,22.0,비스듬(아래가 큼)
VisDrone seq0000047,269,0.4618,1.45,23.0,비스듬(아래가 큼)
VisDrone seq0000048,98,0.3987,1.182,23.0,비스듬(아래가 큼)
VisDrone seq0000050,98,0.4483,1.364,48.0,비스듬(아래가 큼)
VisDrone seq0000055,153,0.5234,1.444,41.0,비스듬(아래가 큼)
VisDrone seq0000059,888,0.0458,1.2,5.0,수직 하향에 가까움
VisDrone seq0000063,1314,0.3851,1.969,20.0,비스듬(아래가 큼)
VisDrone seq0000066,262,0.8873,1.708,31.0,비스듬(아래가 큼)
VisDrone seq0000068,1334,0.7289,1.826,29.0,비스듬(아래가 큼)
VisDrone seq0000069,239,0.7993,2.494,65.0,비스듬(아래가 큼)
VisDrone seq0000070,613,0.7695,2.125,48.0,비스듬(아래가 큼)
VisDrone seq0000071,760,0.4977,1.5,61.0,비스듬(아래가 큼)
VisDrone seq0000072,928,0.4868,1.514,46.0,비스듬(아래가 큼)
VisDrone seq0000073,562,0.8832,3.109,49.0,비스듬(아래가 큼)
VisDrone seq0000074,1828,0.9041,3.088,56.0,비스듬(아래가 큼)
VisDrone seq0000076,245,0.5224,1.636,38.0,비스듬(아래가 큼)
VisDrone seq0000078,91,0.1457,1.477,30.0,수직 하향에 가까움
VisDrone seq0000079,174,0.5823,1.472,43.0,비스듬(아래가 큼)
VisDrone seq0000081,83,0.8338,1.955,28.0,비스듬(아래가 큼)
VisDrone seq0000084,412,0.9128,2.708,33.0,비스듬(아래가 큼)
VisDrone seq0000085,128,0.8341,2.484,44.0,비스듬(아래가 큼)
VisDrone seq0000086,512,0.8493,2.588,25.0,비스듬(아래가 큼)
VisDrone seq0000087,547,0.7945,2.474,29.0,비스듬(아래가 큼)
VisDrone seq0000105,83,0.6515,1.943,23.0,비스듬(아래가 큼)
VisDrone seq0000106,117,0.8627,2.125,21.0,비스듬(아래가 큼)
VisDrone seq0000107,322,0.8293,2.286,21.5,비스듬(아래가 큼)
VisDrone seq0000115,110,0.8788,3.143,17.0,비스듬(아래가 큼)
VisDrone seq0000116,106,0.8425,2.143,20.0,비스듬(아래가 큼)
VisDrone seq0000117,257,0.7819,1.692,31.0,비스듬(아래가 큼)
VisDrone seq0000120,233,0.4796,1.344,38.0,비스듬(아래가 큼)
VisDrone seq0000126,191,0.2059,1.136,21.0,수직 하향에 가까움
VisDrone seq0000127,161,0.9045,3.562,29.0,비스듬(아래가 큼)
VisDrone seq0000133,172,-0.0885,0.812,15.0,수직 하향에 가까움
VisDrone seq0000134,222,0.922,2.737,30.0,비스듬(아래가 큼)
VisDrone seq0000135,332,0.8802,3.0,36.0,비스듬(아래가 큼)
VisDrone seq0000136,316,0.8589,2.783,34.0,비스듬(아래가 큼)
VisDrone seq0000137,603,0.8497,2.714,36.0,비스듬(아래가 큼)
VisDrone seq0000140,545,0.854,2.316,29.0,비스듬(아래가 큼)
VisDrone seq0000141,676,0.818,2.522,36.0,비스듬(아래가 큼)
VisDrone seq0000142,1011,0.862,2.706,29.0,비스듬(아래가 큼)
VisDrone seq0000143,1040,0.6567,1.895,25.0,비스듬(아래가 큼)
VisDrone seq0000146,101,0.8463,3.133,26.0,비스듬(아래가 큼)
VisDrone seq0000150,510,0.8799,2.316,28.0,비스듬(아래가 큼)
VisDrone seq0000152,89,0.9021,3.231,25.0,비스듬(아래가 큼)
VisDrone seq0000153,132,0.8019,3.0,13.0,비스듬(아래가 큼)
VisDrone seq0000154,170,0.8914,3.056,14.0,비스듬(아래가 큼)
VisDrone seq0000155,206,0.9044,3.3,17.5,비스듬(아래가 큼)
VisDrone seq0000156,89,0.9141,2.5,10.0,비스듬(아래가 큼)
VisDrone seq0000157,97,0.8989,2.562,11.0,비스듬(아래가 큼)
VisDrone seq0000161,117,0.8741,1.786,19.0,비스듬(아래가 큼)
VisDrone seq0000165,260,0.7974,3.458,42.0,비스듬(아래가 큼)
VisDrone seq0000166,126,0.8268,3.244,78.0,비스듬(아래가 큼)
VisDrone seq0000167,182,0.8323,5.729,47.5,비스듬(아래가 큼)
VisDrone seq0000170,100,0.8219,2.889,17.0,비스듬(아래가 큼)
VisDrone seq0000172,119,0.8677,2.625,12.0,비스듬(아래가 큼)
VisDrone seq0000173,235,0.851,3.125,16.0,비스듬(아래가 큼)
VisDrone seq0000174,111,0.8579,2.889,15.0,비스듬(아래가 큼)
VisDrone seq0000181,194,0.8295,2.667,17.0,비스듬(아래가 큼)
VisDrone seq0000182,162,0.841,1.952,15.0,비스듬(아래가 큼)
VisDrone seq0000193,316,0.85,2.154,18.5,비스듬(아래가 큼)
VisDrone seq0000194,186,0.8524,1.917,17.0,비스듬(아래가 큼)
VisDrone seq0000195,476,0.8385,3.7,20.0,비스듬(아래가 큼)
VisDrone seq0000196,584,0.8,2.258,24.0,비스듬(아래가 큼)
VisDrone seq0000197,767,0.8085,2.636,19.0,비스듬(아래가 큼)
VisDrone seq0000201,125,0.7319,1.556,12.0,비스듬(아래가 큼)
VisDrone seq0000205,144,0.8221,1.917,19.0,비스듬(아래가 큼)
VisDrone seq0000213,386,0.6948,1.65,27.0,비스듬(아래가 큼)
VisDrone seq0000214,133,0.6311,1.549,32.0,비스듬(아래가 큼)
VisDrone seq0000215,216,0.7698,1.875,20.0,비스듬(아래가 큼)
VisDrone seq0000222,107,0.8691,3.059,30.0,비스듬(아래가 큼)
VisDrone seq0000225,135,0.6733,2.0,26.0,비스듬(아래가 큼)
VisDrone seq0000226,85,0.8692,3.158,18.0,비스듬(아래가 큼)
VisDrone seq0000228,86,0.9229,2.571,19.0,비스듬(아래가 큼)
VisDrone seq0000239,321,0.2715,1.409,13.0,수직 하향에 가까움
VisDrone seq0000242,113,0.4113,1.214,16.0,비스듬(아래가 큼)
VisDrone seq0000244,231,0.5083,1.818,16.0,비스듬(아래가 큼)
VisDrone seq0000249,133,0.6995,2.0,14.0,비스듬(아래가 큼)
VisDrone seq0000252,93,0.8781,2.667,15.0,비스듬(아래가 큼)
VisDrone seq0000256,180,0.63,1.471,18.0,비스듬(아래가 큼)
VisDrone seq0000257,152,-0.1709,1.103,15.0,수직 하향에 가까움
VisDrone seq0000258,177,0.8143,2.333,21.0,비스듬(아래가 큼)
VisDrone seq0000259,91,0.8451,1.895,27.0,비스듬(아래가 큼)
VisDrone seq0000260,279,0.8792,3.0,24.0,비스듬(아래가 큼)
VisDrone seq0000261,208,0.6968,1.857,25.5,비스듬(아래가 큼)
VisDrone seq0000264,142,-0.0083,0.773,22.0,수직 하향에 가까움
VisDrone seq0000265,355,0.8305,2.357,20.0,비스듬(아래가 큼)
VisDrone seq0000270,166,0.7503,2.077,21.5,비스듬(아래가 큼)
VisDrone seq0000271,577,0.8737,2.176,23.0,비스듬(아래가 큼)
VisDrone seq0000272,150,0.8437,2.0,25.0,비스듬(아래가 큼)
VisDrone seq0000276,199,0.812,2.286,19.0,비스듬(아래가 큼)
VisDrone seq0000277,416,0.6785,2.75,30.0,비스듬(아래가 큼)
VisDrone seq0000279,615,0.621,1.733,18.0,비스듬(아래가 큼)
VisDrone seq0000280,360,0.7954,2.75,22.5,비스듬(아래가 큼)
VisDrone seq0000281,190,0.0442,0.865,23.0,수직 하향에 가까움
VisDrone seq0000287,261,0.5279,1.933,19.0,비스듬(아래가 큼)
VisDrone seq0000288,441,0.2537,1.414,35.0,수직 하향에 가까움
VisDrone seq0000289,790,0.6288,2.045,31.0,비스듬(아래가 큼)
VisDrone seq0000290,251,0.8062,1.733,19.0,비스듬(아래가 큼)
VisDrone seq0000291,1530,0.3601,1.37,33.0,비스듬(아래가 큼)
VisDrone seq0000293,511,0.7346,2.289,29.0,비스듬(아래가 큼)
VisDrone seq0000295,1202,0.775,2.062,22.0,비스듬(아래가 큼)
VisDrone seq0000296,129,0.9206,2.706,27.0,비스듬(아래가 큼)
VisDrone seq0000297,389,0.7848,1.95,27.0,비스듬(아래가 큼)
VisDrone seq0000299,199,0.9159,2.367,21.0,비스듬(아래가 큼)
VisDrone seq0000300,305,0.8699,2.643,24.0,비스듬(아래가 큼)
VisDrone seq0000301,135,0.8341,1.947,28.0,비스듬(아래가 큼)
VisDrone seq0000303,459,0.5478,1.371,21.0,비스듬(아래가 큼)
VisDrone seq0000304,81,0.8261,2.192,31.0,비스듬(아래가 큼)
VisDrone seq0000305,217,0.1833,1.12,26.0,수직 하향에 가까움
VisDrone seq0000308,382,0.5731,1.636,37.0,비스듬(아래가 큼)
VisDrone seq0000309,692,0.8442,2.444,28.0,비스듬(아래가 큼)
VisDrone seq0000310,88,0.7525,1.867,39.0,비스듬(아래가 큼)
VisDrone seq0000312,223,0.6023,1.524,26.0,비스듬(아래가 큼)
VisDrone seq0000313,350,0.1452,1.333,17.0,수직 하향에 가까움
VisDrone seq0000315,234,0.649,2.5,20.0,비스듬(아래가 큼)
VisDrone seq0000316,129,0.3732,1.675,28.0,비스듬(아래가 큼)
VisDrone seq0000318,82,0.8739,2.462,48.5,비스듬(아래가 큼)
VisDrone seq0000320,336,0.8186,2.148,39.0,비스듬(아래가 큼)
VisDrone seq0000323,106,0.9156,2.65,37.5,비스듬(아래가 큼)
VisDrone seq0000325,312,0.759,2.5,23.0,비스듬(아래가 큼)
VisDrone seq0000327,514,0.8154,2.062,21.0,비스듬(아래가 큼)
VisDrone seq0000328,81,0.9276,2.643,18.0,비스듬(아래가 큼)
VisDrone seq0000329,207,0.7947,2.4,34.0,비스듬(아래가 큼)
VisDrone seq0000330,523,0.7726,2.0,26.0,비스듬(아래가 큼)
VisDrone seq0000331,380,0.7537,2.143,19.0,비스듬(아래가 큼)
VisDrone seq0000333,226,-0.1626,0.818,10.0,수직 하향에 가까움
VisDrone seq0000334,448,-0.1357,0.909,10.0,수직 하향에 가까움
VisDrone seq0000335,333,0.4905,1.75,27.0,비스듬(아래가 큼)
VisDrone seq0000337,81,-0.1954,0.833,22.0,수직 하향에 가까움
VisDrone seq0000338,228,0.5826,1.625,41.0,비스듬(아래가 큼)
VisDrone seq0000339,499,0.5525,1.947,27.0,비스듬(아래가 큼)
VisDrone seq0000342,750,0.6173,1.75,28.5,비스듬(아래가 큼)
VisDrone seq0000343,114,-0.0863,0.955,11.0,수직 하향에 가까움
VisDrone seq0000344,263,0.2715,0.941,16.0,수직 하향에 가까움
VisDrone seq0000345,399,0.6909,1.889,30.0,비스듬(아래가 큼)
VisDrone seq0000346,108,0.9016,2.356,30.0,비스듬(아래가 큼)
VisDrone seq0000347,129,0.8283,2.929,20.0,비스듬(아래가 큼)
VisDrone seq0000348,753,0.4919,1.556,33.0,비스듬(아래가 큼)
VisDrone seq0000349,240,0.5163,1.257,39.0,비스듬(아래가 큼)
VisDrone seq0000351,373,0.3557,2.615,20.0,비스듬(아래가 큼)
VisDrone seq0000352,588,0.6827,2.433,24.0,비스듬(아래가 큼)
VisDrone seq0000353,184,0.6361,1.75,22.0,비스듬(아래가 큼)
VisDrone seq0000356,586,0.7403,1.522,27.0,비스듬(아래가 큼)
VisDrone seq0000357,142,0.6566,1.423,29.0,비스듬(아래가 큼)
VisDrone seq0000358,197,0.7948,2.312,26.0,비스듬(아래가 큼)
VisDrone seq0000359,99,0.7601,2.222,36.0,비스듬(아래가 큼)
VisDrone seq0000360,319,0.7535,2.286,32.0,비스듬(아래가 큼)
VisDrone seq0000361,291,0.6549,1.5,29.0,비스듬(아래가 큼)
VisDrone seq0000363,464,0.7573,2.6,25.0,비스듬(아래가 큼)
VisDrone seq0000364,189,0.8734,2.375,22.0,비스듬(아래가 큼)
VisDrone seq0000365,132,0.8038,2.091,16.0,비스듬(아래가 큼)
VisDrone seq0000366,1256,0.5628,1.761,26.0,비스듬(아래가 큼)
VisDrone seq9999937,5065,0.3166,2.053,29.0,비스듬(아래가 큼)
VisDrone seq9999938,11620,0.1674,1.222,10.0,수직 하향에 가까움
VisDrone seq9999940,1088,0.0105,1.0,9.0,수직 하향에 가까움
VisDrone seq9999941,692,0.139,1.0,9.0,수직 하향에 가까움
VisDrone seq9999942,3650,0.0009,0.893,27.0,수직 하향에 가까움
VisDrone seq9999943,1761,0.0453,1.04,26.0,수직 하향에 가까움
VisDrone seq9999945,3068,0.431,1.917,16.0,비스듬(아래가 큼)
VisDrone seq9999947,1412,0.33,1.222,19.0,비스듬(아래가 큼)
VisDrone seq9999948,443,0.3605,1.543,24.0,비스듬(아래가 큼)
VisDrone seq9999950,731,0.0288,1.222,29.0,수직 하향에 가까움
VisDrone seq9999951,3848,0.3084,1.235,19.0,비스듬(아래가 큼)
VisDrone seq9999952,1103,0.4095,1.462,15.0,비스듬(아래가 큼)
VisDrone seq9999953,484,0.161,1.125,26.0,수직 하향에 가까움
VisDrone seq9999955,8901,0.2448,1.333,18.0,수직 하향에 가까움
VisDrone seq9999956,405,0.1116,1.25,14.0,수직 하향에 가까움
VisDrone seq9999960,259,0.5625,1.949,57.0,비스듬(아래가 큼)
VisDrone seq9999962,2186,0.4152,1.607,38.0,비스듬(아래가 큼)
VisDrone seq9999963,855,0.2877,1.179,44.0,수직 하향에 가까움
VisDrone seq9999964,818,0.6608,2.316,30.0,비스듬(아래가 큼)
VisDrone seq9999965,939,0.3345,1.188,18.0,비스듬(아래가 큼)
VisDrone seq9999966,3701,0.5186,2.182,32.0,비스듬(아래가 큼)
VisDrone seq9999967,1371,0.5667,1.8,32.0,비스듬(아래가 큼)
VisDrone seq9999969,1399,0.4734,1.656,39.0,비스듬(아래가 큼)
VisDrone seq9999970,1477,0.5958,1.783,33.0,비스듬(아래가 큼)
VisDrone seq9999972,436,0.4238,1.382,20.0,비스듬(아래가 큼)
VisDrone seq9999973,612,0.4205,1.368,22.0,비스듬(아래가 큼)
VisDrone seq9999974,136,0.1403,1.4,24.0,수직 하향에 가까움
VisDrone seq9999975,273,0.0842,1.0,8.0,수직 하향에 가까움
VisDrone seq9999976,194,0.3771,1.385,15.0,비스듬(아래가 큼)
VisDrone seq9999977,706,0.7585,2.3,15.0,비스듬(아래가 큼)
VisDrone seq9999979,1301,0.1964,1.143,15.0,수직 하향에 가까움
VisDrone seq9999981,2203,-0.1108,0.905,20.0,수직 하향에 가까움
VisDrone seq9999982,2249,0.177,1.182,12.0,수직 하향에 가까움
VisDrone seq9999984,1627,0.4341,1.385,14.0,비스듬(아래가 큼)
VisDrone seq9999985,602,0.5448,1.917,17.0,비스듬(아래가 큼)
VisDrone seq9999986,839,0.5838,1.514,24.0,비스듬(아래가 큼)
VisDrone seq9999987,3754,0.6528,1.842,28.0,비스듬(아래가 큼)
VisDrone seq9999989,299,0.7196,2.235,25.0,비스듬(아래가 큼)
VisDrone seq9999990,1028,0.187,1.118,19.0,수직 하향에 가까움
VisDrone seq9999991,630,0.394,1.243,21.0,비스듬(아래가 큼)
VisDrone seq9999993,405,0.5969,2.0,20.0,비스듬(아래가 큼)
VisDrone seq9999994,1011,0.377,2.2,14.0,비스듬(아래가 큼)
VisDrone seq9999996,114,0.4432,0.857,20.0,비스듬(아래가 큼)
VisDrone seq9999997,182,0.4493,1.933,19.0,비스듬(아래가 큼)
VisDrone seq9999998,3110,0.3231,1.524,27.0,비스듬(아래가 큼)
VisDrone seq9999999,11520,0.296,1.529,40.0,수직 하향에 가까움
