group,n,corr_cy_px,bottom_over_top,verdict,px_median
NOMAD Actor005_a90,85,0.3617,1.738,비스듬(아래가 큼),32.0
NOMAD Actor006_a10,85,0.3788,2.172,비스듬(아래가 큼),303.0
NOMAD Actor006_a30,85,0.3862,1.114,비스듬(아래가 큼),106.0
NOMAD Actor006_a50,85,0.1752,1.051,수직 하향에 가까움,69.0
NOMAD Actor006_a70,85,-0.0701,0.851,수직 하향에 가까움,45.0
NOMAD Actor006_a90,114,0.3604,1.108,비스듬(아래가 큼),35.0
NOMAD Actor007_a10,85,0.5095,1.519,비스듬(아래가 큼),304.0
NOMAD Actor007_a30,85,0.5212,1.425,비스듬(아래가 큼),95.0
NOMAD Actor007_a50,85,0.5424,1.573,비스듬(아래가 큼),54.0
NOMAD Actor007_a70,85,0.4399,1.324,비스듬(아래가 큼),45.0
NOMAD Actor007_a90,85,0.3528,1.101,비스듬(아래가 큼),35.0
NOMAD Actor008_a10,85,-0.2373,0.521,수직 하향에 가까움,205.0
NOMAD Actor008_a30,85,-0.3778,0.457,비스듬(위가 큼),67.0
NOMAD Actor008_a50,85,0.1019,1.244,수직 하향에 가까움,34.0
NOMAD Actor008_a70,85,0.2621,1.738,수직 하향에 가까움,30.0
NOMAD Actor008_a90,85,0.2733,0.98,수직 하향에 가까움,23.0
NOMAD Actor009_a10,85,0.3799,1.483,비스듬(아래가 큼),285.0
NOMAD Actor009_a30,85,-0.1308,0.876,수직 하향에 가까움,90.0
NOMAD Actor009_a50,85,-0.2359,0.652,수직 하향에 가까움,57.0
NOMAD Actor009_a70,85,-0.2825,0.564,수직 하향에 가까움,36.0
NOMAD Actor009_a90,85,-0.249,0.732,수직 하향에 가까움,24.0
NOMAD Actor010_a10,85,0.424,1.271,비스듬(아래가 큼),221.0
NOMAD Actor010_a30,85,0.5152,1.783,비스듬(아래가 큼),66.0
NOMAD Actor010_a50,85,0.395,2.342,비스듬(아래가 큼),42.0
NOMAD Actor010_a70,85,0.4943,1.478,비스듬(아래가 큼),32.0
NOMAD Actor010_a90,85,0.6952,1.758,비스듬(아래가 큼),22.0
NOMAD Actor011_a10,85,0.6371,2.307,비스듬(아래가 큼),237.0
NOMAD Actor011_a30,85,-0.2242,1.427,수직 하향에 가까움,75.0
NOMAD Actor011_a50,85,-0.2106,0.442,수직 하향에 가까움,29.0
NOMAD Actor011_a70,85,-0.3509,0.678,비스듬(위가 큼),33.0
NOMAD Actor011_a90,85,-0.4243,0.469,비스듬(위가 큼),28.0
NOMAD Actor012_a10,85,0.1844,0.791,수직 하향에 가까움,277.0
NOMAD Actor012_a30,85,-0.5617,0.283,비스듬(위가 큼),90.0
NOMAD Actor012_a50,85,-0.4025,0.739,비스듬(위가 큼),64.0
NOMAD Actor012_a70,85,0.4159,1.364,비스듬(아래가 큼),43.0
NOMAD Actor012_a90,85,0.382,1.524,비스듬(아래가 큼),28.0
NOMAD Actor013_a10,85,0.1119,1.048,수직 하향에 가까움,178.0
NOMAD Actor013_a30,85,0.2527,1.189,수직 하향에 가까움,54.0
NOMAD Actor013_a50,85,0.1865,1.264,수직 하향에 가까움,36.0
NOMAD Actor013_a70,85,0.2313,1.194,수직 하향에 가까움,30.0
NOMAD Actor013_a90,85,0.1974,1.152,수직 하향에 가까움,24.0
NOMAD Actor014_a10,85,0.2392,1.119,수직 하향에 가까움,236.0
NOMAD Actor014_a30,85,0.4265,1.266,비스듬(아래가 큼),69.0
NOMAD Actor014_a50,85,-0.2215,0.489,수직 하향에 가까움,37.0
NOMAD Actor014_a70,85,0.0753,0.939,수직 하향에 가까움,33.0
NOMAD Actor014_a90,85,-0.1599,0.893,수직 하향에 가까움,27.0
NOMAD Actor015_a10,85,0.4337,1.913,비스듬(아래가 큼),157.0
NOMAD Actor015_a30,85,0.3339,1.881,비스듬(아래가 큼),68.0
NOMAD Actor015_a50,85,-0.197,0.882,수직 하향에 가까움,33.0
NOMAD Actor015_a70,85,-0.4184,0.688,비스듬(위가 큼),27.0
NOMAD Actor015_a90,85,-0.1427,0.913,수직 하향에 가까움,22.0
NOMAD Actor016_a10,85,0.7518,3.866,비스듬(아래가 큼),141.0
NOMAD Actor016_a30,85,0.6516,3.486,비스듬(아래가 큼),67.0
NOMAD Actor016_a50,85,0.6176,3.302,비스듬(아래가 큼),37.0
NOMAD Actor016_a70,85,0.6288,1.957,비스듬(아래가 큼),36.0
NOMAD Actor016_a90,85,0.544,1.304,비스듬(아래가 큼),25.0
NOMAD Actor017_a10,85,0.3758,1.382,비스듬(아래가 큼),214.0
NOMAD Actor017_a30,85,0.4786,1.016,비스듬(아래가 큼),98.0
NOMAD Actor017_a50,85,-0.1443,0.964,수직 하향에 가까움,58.0
NOMAD Actor017_a70,85,-0.1989,0.474,수직 하향에 가까움,39.0
NOMAD Actor017_a90,85,0.3607,1.167,비스듬(아래가 큼),34.0
NOMAD Actor018_a10,85,0.1028,1.319,수직 하향에 가까움,150.0
NOMAD Actor018_a30,85,-0.0862,0.901,수직 하향에 가까움,67.0
NOMAD Actor018_a50,85,-0.0219,1.15,수직 하향에 가까움,39.0
NOMAD Actor018_a70,85,-0.0794,0.967,수직 하향에 가까움,29.0
NOMAD Actor018_a90,85,0.1545,1.167,수직 하향에 가까움,21.0
NOMAD Actor019_a10,85,0.2304,2.046,수직 하향에 가까움,178.0
NOMAD Actor019_a30,85,0.0101,1.289,수직 하향에 가까움,85.0
NOMAD Actor019_a50,85,0.0554,1.862,수직 하향에 가까움,53.0
NOMAD Actor019_a70,85,-0.0778,0.987,수직 하향에 가까움,39.0
NOMAD Actor019_a90,85,0.1819,1.694,수직 하향에 가까움,29.0
NOMAD Actor020_a10,85,-0.4811,0.98,비스듬(위가 큼),128.0
NOMAD Actor020_a30,85,-0.1025,1.4,수직 하향에 가까움,49.0
NOMAD Actor020_a50,85,-0.1848,1.217,수직 하향에 가까움,31.0
NOMAD Actor020_a70,85,-0.3529,0.824,비스듬(위가 큼),23.0
NOMAD Actor020_a90,85,-0.4056,0.841,비스듬(위가 큼),19.0
NOMAD Actor021_a10,85,0.106,1.217,수직 하향에 가까움,192.0
NOMAD Actor021_a30,85,0.2002,1.348,수직 하향에 가까움,61.0
NOMAD Actor021_a50,85,0.3462,1.446,비스듬(아래가 큼),36.0
NOMAD Actor021_a70,85,0.2084,1.592,수직 하향에 가까움,25.0
NOMAD Actor021_a90,85,0.0884,0.857,수직 하향에 가까움,20.0
NOMAD Actor022_a10,85,-0.3466,0.6,비스듬(위가 큼),217.0
NOMAD Actor022_a30,85,-0.0626,1.244,수직 하향에 가까움,57.0
NOMAD Actor022_a50,85,-0.3497,1.036,비스듬(위가 큼),35.0
NOMAD Actor022_a70,85,-0.1582,1.143,수직 하향에 가까움,25.0
NOMAD Actor022_a90,85,-0.4999,0.4,비스듬(위가 큼),19.0
NOMAD Actor023_a10,85,-0.0292,0.782,수직 하향에 가까움,208.0
NOMAD Actor023_a30,85,-0.1968,0.443,수직 하향에 가까움,59.0
NOMAD Actor023_a50,85,-0.1685,0.72,수직 하향에 가까움,47.0
NOMAD Actor023_a70,85,-0.0418,0.872,수직 하향에 가까움,22.0
NOMAD Actor023_a90,85,-0.2542,0.78,수직 하향에 가까움,23.0
NOMAD Actor024_a10,85,0.3265,1.598,비스듬(아래가 큼),177.0
NOMAD Actor024_a30,85,0.1719,1.35,수직 하향에 가까움,67.0
NOMAD Actor024_a50,85,0.2024,1.026,수직 하향에 가까움,42.0
NOMAD Actor024_a70,85,0.0184,0.933,수직 하향에 가까움,29.0
NOMAD Actor024_a90,85,0.3543,1.043,비스듬(아래가 큼),23.0
NOMAD Actor025_a10,85,-0.0228,0.413,수직 하향에 가까움,260.0
NOMAD Actor025_a30,85,0.2521,1.653,수직 하향에 가까움,80.0
NOMAD Actor025_a50,85,0.2185,0.653,수직 하향에 가까움,44.0
NOMAD Actor025_a70,85,0.4511,1.216,비스듬(아래가 큼),40.0
NOMAD Actor025_a90,85,0.3686,1.45,비스듬(아래가 큼),26.0
NOMAD Actor026_a10,85,-0.4262,0.271,비스듬(위가 큼),148.0
NOMAD Actor026_a30,85,-0.4474,0.304,비스듬(위가 큼),40.0
NOMAD Actor026_a50,85,-0.4319,0.467,비스듬(위가 큼),36.0
NOMAD Actor026_a70,85,-0.2208,0.716,수직 하향에 가까움,29.0
NOMAD Actor026_a90,85,-0.0214,1.2,수직 하향에 가까움,23.0
NOMAD Actor027_a10,85,0.2521,1.089,수직 하향에 가까움,151.0
NOMAD Actor027_a30,85,0.2228,1.406,수직 하향에 가까움,58.0
NOMAD Actor027_a50,85,-0.2128,0.756,수직 하향에 가까움,38.0
NOMAD Actor027_a70,85,-0.5873,0.469,비스듬(위가 큼),33.0
NOMAD Actor027_a90,85,-0.0632,0.933,수직 하향에 가까움,29.0
NOMAD Actor028_a10,85,0.4566,1.145,비스듬(아래가 큼),213.0
NOMAD Actor028_a30,85,0.5924,3.34,비스듬(아래가 큼),50.0
NOMAD Actor028_a50,85,0.1147,1.009,수직 하향에 가까움,55.0
NOMAD Actor028_a70,85,0.2046,0.96,수직 하향에 가까움,39.0
NOMAD Actor028_a90,85,0.3976,2.625,비스듬(아래가 큼),25.0
NOMAD Actor029_a10,85,0.398,1.312,비스듬(아래가 큼),160.0
NOMAD Actor029_a30,85,0.116,1.2,수직 하향에 가까움,53.0
NOMAD Actor029_a50,85,0.1881,1.095,수직 하향에 가까움,37.0
NOMAD Actor029_a70,85,0.2995,1.174,수직 하향에 가까움,19.0
NOMAD Actor029_a90,85,-0.8892,0.442,비스듬(위가 큼),29.0
NOMAD Actor030_a10,85,-0.4288,0.135,비스듬(위가 큼),198.0
NOMAD Actor030_a30,85,-0.1569,1.373,수직 하향에 가까움,67.0
NOMAD Actor030_a50,85,-0.6811,0.589,비스듬(위가 큼),38.0
NOMAD Actor030_a70,85,-0.2219,0.69,수직 하향에 가까움,27.0
NOMAD Actor030_a90,85,-0.5479,0.458,비스듬(위가 큼),26.0
NOMAD Actor031_a10,85,0.2039,1.045,수직 하향에 가까움,175.0
NOMAD Actor031_a30,85,-0.6641,0.224,비스듬(위가 큼),37.0
NOMAD Actor031_a50,85,-0.5363,0.461,비스듬(위가 큼),32.0
NOMAD Actor031_a70,85,0.3079,2.143,비스듬(아래가 큼),23.0
NOMAD Actor031_a90,85,0.1811,0.761,수직 하향에 가까움,14.0
NOMAD Actor032_a10,85,0.4538,1.257,비스듬(아래가 큼),218.0
NOMAD Actor032_a30,85,0.4312,1.779,비스듬(아래가 큼),95.0
NOMAD Actor032_a50,85,-0.3722,0.69,비스듬(위가 큼),39.0
NOMAD Actor032_a70,85,-0.2146,0.543,수직 하향에 가까움,26.0
NOMAD Actor032_a90,85,0.1682,1.583,수직 하향에 가까움,23.0
NOMAD Actor033_a10,85,-0.2447,0.589,수직 하향에 가까움,273.0
NOMAD Actor033_a30,85,0.0823,1.028,수직 하향에 가까움,92.0
NOMAD Actor033_a50,85,0.5582,2.148,비스듬(아래가 큼),53.0
NOMAD Actor033_a70,85,0.5331,1.431,비스듬(아래가 큼),27.0
NOMAD Actor033_a90,85,0.2883,1.216,수직 하향에 가까움,21.0
NOMAD Actor034_a10,85,0.2645,1.279,수직 하향에 가까움,250.0
NOMAD Actor034_a30,85,0.0652,1.018,수직 하향에 가까움,87.0
NOMAD Actor034_a50,85,-0.26,0.887,수직 하향에 가까움,40.0
NOMAD Actor034_a70,85,-0.4297,0.621,비스듬(위가 큼),27.0
NOMAD Actor034_a90,85,-0.2804,0.76,수직 하향에 가까움,22.0
NOMAD Actor035_a10,85,-0.5357,0.675,비스듬(위가 큼),286.0
NOMAD Actor035_a30,85,-0.3939,0.796,비스듬(위가 큼),92.0
NOMAD Actor035_a50,85,0.2232,1.885,수직 하향에 가까움,52.0
NOMAD Actor035_a70,85,-0.1164,1.0,수직 하향에 가까움,35.0
NOMAD Actor035_a90,85,-0.0762,1.206,수직 하향에 가까움,22.0
NOMAD Actor036_a10,85,0.3837,0.981,비스듬(아래가 큼),189.0
NOMAD Actor036_a30,85,0.5424,1.362,비스듬(아래가 큼),58.0
NOMAD Actor036_a50,85,0.4187,1.134,비스듬(아래가 큼),43.0
NOMAD Actor036_a70,85,-0.086,0.653,수직 하향에 가까움,34.0
NOMAD Actor036_a90,85,0.4371,1.5,비스듬(아래가 큼),25.0
NOMAD Actor037_a10,85,0.8765,2.692,비스듬(아래가 큼),102.0
NOMAD Actor037_a30,85,0.7142,1.675,비스듬(아래가 큼),70.0
NOMAD Actor037_a50,85,0.6064,1.308,비스듬(아래가 큼),42.0
NOMAD Actor037_a70,85,0.4393,1.246,비스듬(아래가 큼),33.0
NOMAD Actor037_a90,85,0.2048,1.0,수직 하향에 가까움,27.0
NOMAD Actor038_a10,85,0.9014,4.054,비스듬(아래가 큼),105.0
NOMAD Actor038_a30,85,0.7829,2.317,비스듬(아래가 큼),58.0
NOMAD Actor038_a50,85,0.6327,1.569,비스듬(아래가 큼),37.0
NOMAD Actor038_a70,85,0.4781,1.32,비스듬(아래가 큼),29.0
NOMAD Actor038_a90,85,0.6054,1.419,비스듬(아래가 큼),24.0
NOMAD Actor039_a10,85,0.1828,1.298,수직 하향에 가까움,178.0
NOMAD Actor039_a30,85,0.5156,1.658,비스듬(아래가 큼),68.0
NOMAD Actor039_a50,85,0.5879,1.35,비스듬(아래가 큼),44.0
NOMAD Actor039_a70,85,0.4781,1.31,비스듬(아래가 큼),30.0
NOMAD Actor039_a90,85,0.3429,1.312,비스듬(아래가 큼),24.0
NOMAD Actor040_a10,85,0.8705,2.421,비스듬(아래가 큼),167.0
NOMAD Actor040_a30,85,0.7561,1.582,비스듬(아래가 큼),64.0
NOMAD Actor040_a50,85,0.4077,1.253,비스듬(아래가 큼),47.0
NOMAD Actor040_a70,85,0.3097,1.179,비스듬(아래가 큼),37.0
NOMAD Actor040_a90,85,0.2993,1.231,수직 하향에 가까움,29.0
NOMAD Actor041_a10,85,0.8351,2.256,비스듬(아래가 큼),171.0
NOMAD Actor041_a30,85,0.656,1.422,비스듬(아래가 큼),61.0
NOMAD Actor041_a50,85,0.4577,1.136,비스듬(아래가 큼),41.0
NOMAD Actor041_a70,85,0.4868,1.22,비스듬(아래가 큼),31.0
NOMAD Actor041_a90,85,0.3002,0.98,비스듬(아래가 큼),24.0
NOMAD Actor042_a10,85,0.3475,1.584,비스듬(아래가 큼),196.0
NOMAD Actor042_a30,85,0.0793,1.207,수직 하향에 가까움,74.0
NOMAD Actor042_a50,85,0.2199,1.289,수직 하향에 가까움,40.0
NOMAD Actor042_a70,85,-0.0862,0.862,수직 하향에 가까움,25.0
NOMAD Actor042_a90,85,0.1666,0.922,수직 하향에 가까움,27.0
NOMAD Actor043_a10,85,-0.4568,0.691,비스듬(위가 큼),288.0
NOMAD Actor043_a30,85,-0.2887,0.905,수직 하향에 가까움,96.0
NOMAD Actor043_a50,85,-0.1237,1.08,수직 하향에 가까움,59.0
NOMAD Actor043_a70,85,0.0185,1.208,수직 하향에 가까움,40.0
NOMAD Actor043_a90,85,0.115,1.113,수직 하향에 가까움,33.0
NOMAD Actor044_a10,85,-0.2528,0.748,수직 하향에 가까움,200.0
NOMAD Actor044_a30,85,-0.2505,1.11,수직 하향에 가까움,89.0
NOMAD Actor044_a50,85,-0.1719,1.268,수직 하향에 가까움,51.0
NOMAD Actor044_a70,85,-0.1241,1.27,수직 하향에 가까움,40.0
NOMAD Actor044_a90,85,-0.0944,1.565,수직 하향에 가까움,25.0
NOMAD Actor045_a10,85,0.153,1.424,수직 하향에 가까움,119.0
NOMAD Actor045_a30,85,-0.2643,0.863,수직 하향에 가까움,67.0
NOMAD Actor045_a50,145,0.3388,1.909,비스듬(아래가 큼),27.0
NOMAD Actor045_a70,118,0.4807,3.75,비스듬(아래가 큼),24.0
NOMAD Actor045_a90,161,-0.364,0.932,비스듬(위가 큼),35.0
NOMAD Actor046_a10,85,0.1296,0.937,수직 하향에 가까움,209.0
NOMAD Actor046_a30,85,-0.1908,0.605,수직 하향에 가까움,65.0
NOMAD Actor046_a50,170,0.6809,1.214,비스듬(아래가 큼),63.0
NOMAD Actor046_a70,170,-0.2699,0.4,수직 하향에 가까움,28.5
NOMAD Actor046_a90,170,-0.3327,0.438,비스듬(위가 큼),18.0
NOMAD Actor047_a10,85,0.6104,1.304,비스듬(아래가 큼),158.0
NOMAD Actor047_a30,85,0.1607,1.0,수직 하향에 가까움,67.0
NOMAD Actor047_a50,85,-0.0952,1.062,수직 하향에 가까움,43.0
NOMAD Actor047_a70,85,0.1414,1.152,수직 하향에 가까움,34.0
NOMAD Actor047_a90,85,0.1934,1.08,수직 하향에 가까움,25.0
NOMAD Actor048_a10,85,0.0799,0.423,수직 하향에 가까움,205.0
NOMAD Actor048_a30,85,0.2163,0.989,수직 하향에 가까움,53.0
NOMAD Actor048_a50,85,0.2077,1.176,수직 하향에 가까움,49.0
NOMAD Actor048_a70,85,0.28,1.767,수직 하향에 가까움,34.0
NOMAD Actor048_a90,85,0.3338,1.409,비스듬(아래가 큼),23.0
NOMAD Actor049_a10,85,0.5943,2.651,비스듬(아래가 큼),314.0
NOMAD Actor049_a30,85,0.4017,3.963,비스듬(아래가 큼),70.0
NOMAD Actor049_a50,85,0.5424,2.189,비스듬(아래가 큼),40.0
NOMAD Actor049_a70,85,0.6196,3.667,비스듬(아래가 큼),31.0
NOMAD Actor049_a90,85,0.7478,4.143,비스듬(아래가 큼),23.0
NOMAD Actor050_a10,85,0.4085,1.204,비스듬(아래가 큼),231.0
NOMAD Actor050_a30,85,0.6608,3.224,비스듬(아래가 큼),54.0
NOMAD Actor050_a50,85,0.6268,4.148,비스듬(아래가 큼),49.0
NOMAD Actor050_a70,85,0.5243,3.5,비스듬(아래가 큼),37.0
NOMAD Actor050_a90,85,0.6399,2.708,비스듬(아래가 큼),29.0
NOMAD Actor051_a10,85,0.1782,1.043,수직 하향에 가까움,154.0
NOMAD Actor051_a30,85,-0.0829,0.839,수직 하향에 가까움,87.0
NOMAD Actor051_a50,85,0.1947,1.261,수직 하향에 가까움,56.0
NOMAD Actor051_a70,85,-0.1054,0.952,수직 하향에 가까움,39.0
NOMAD Actor051_a90,85,-0.1518,0.938,수직 하향에 가까움,29.0
NOMAD Actor052_a10,85,0.2578,0.876,수직 하향에 가까움,239.0
NOMAD Actor052_a30,85,0.0873,0.773,수직 하향에 가까움,77.0
NOMAD Actor052_a50,85,0.2236,0.673,수직 하향에 가까움,46.0
NOMAD Actor052_a70,85,0.5138,0.861,비스듬(아래가 큼),32.0
NOMAD Actor052_a90,85,0.5061,0.81,비스듬(아래가 큼),27.0
NOMAD Actor053_a10,85,0.4474,1.223,비스듬(아래가 큼),179.0
NOMAD Actor053_a30,85,0.4588,1.22,비스듬(아래가 큼),65.0
NOMAD Actor053_a50,85,0.3909,1.898,비스듬(아래가 큼),44.0
NOMAD Actor053_a70,85,0.2546,0.896,수직 하향에 가까움,29.0
NOMAD Actor053_a90,85,0.1825,1.0,수직 하향에 가까움,24.0
NOMAD Actor054_a10,85,0.8679,4.442,비스듬(아래가 큼),200.0
NOMAD Actor054_a30,85,0.8186,2.634,비스듬(아래가 큼),77.0
NOMAD Actor054_a50,85,0.3943,1.75,비스듬(아래가 큼),45.0
NOMAD Actor054_a70,85,0.7424,2.3,비스듬(아래가 큼),28.0
NOMAD Actor054_a90,85,0.691,1.921,비스듬(아래가 큼),27.0
NOMAD Actor055_a10,85,0.8023,4.455,비스듬(아래가 큼),92.0
NOMAD Actor055_a30,85,0.7861,2.178,비스듬(아래가 큼),53.0
NOMAD Actor055_a50,85,0.7408,1.648,비스듬(아래가 큼),32.0
NOMAD Actor055_a70,85,0.7835,1.923,비스듬(아래가 큼),24.0
NOMAD Actor055_a90,85,0.7681,2.192,비스듬(아래가 큼),17.0
NOMAD Actor056_a10,85,0.824,4.308,비스듬(아래가 큼),148.0
NOMAD Actor056_a30,85,0.4414,2.0,비스듬(아래가 큼),56.0
NOMAD Actor056_a50,85,0.7349,2.067,비스듬(아래가 큼),31.0
NOMAD Actor056_a70,92,0.6368,2.0,비스듬(아래가 큼),27.0
NOMAD Actor056_a90,85,0.3534,1.743,비스듬(아래가 큼),21.0
NOMAD Actor057_a10,85,0.7553,1.114,비스듬(아래가 큼),252.0
NOMAD Actor057_a30,85,0.3335,0.943,비스듬(아래가 큼),92.0
NOMAD Actor057_a50,85,0.3499,1.162,비스듬(아래가 큼),58.0
NOMAD Actor057_a70,85,0.3058,1.165,비스듬(아래가 큼),43.0
NOMAD Actor057_a90,85,0.2315,1.086,수직 하향에 가까움,36.0
NOMAD Actor058_a10,85,0.4133,1.604,비스듬(아래가 큼),215.0
NOMAD Actor058_a30,85,0.3111,1.465,비스듬(아래가 큼),56.0
NOMAD Actor058_a50,85,0.3986,1.586,비스듬(아래가 큼),52.0
NOMAD Actor058_a70,85,0.4377,1.469,비스듬(아래가 큼),35.0
NOMAD Actor058_a90,85,0.7932,2.25,비스듬(아래가 큼),21.0
NOMAD Actor059_a10,85,0.3649,1.049,비스듬(아래가 큼),192.0
NOMAD Actor059_a30,85,0.3332,1.208,비스듬(아래가 큼),75.0
NOMAD Actor059_a50,85,0.3127,1.295,비스듬(아래가 큼),40.0
NOMAD Actor059_a70,85,0.3489,1.482,비스듬(아래가 큼),25.0
NOMAD Actor059_a90,85,0.258,1.385,수직 하향에 가까움,17.0
NOMAD Actor060_a10,85,0.3998,1.568,비스듬(아래가 큼),173.0
NOMAD Actor060_a30,85,0.4935,1.53,비스듬(아래가 큼),70.0
NOMAD Actor060_a50,171,0.7446,2.667,비스듬(아래가 큼),63.0
NOMAD Actor060_a70,116,0.7425,2.28,비스듬(아래가 큼),39.0
NOMAD Actor060_a90,170,0.5892,2.333,비스듬(아래가 큼),32.5
NOMAD Actor061_a10,86,0.1919,0.779,수직 하향에 가까움,214.5
NOMAD Actor061_a30,85,-0.1834,0.897,수직 하향에 가까움,83.0
NOMAD Actor061_a50,85,-0.064,1.035,수직 하향에 가까움,54.0
NOMAD Actor061_a70,85,0.2838,1.246,수직 하향에 가까움,34.0
NOMAD Actor061_a90,85,-0.0206,0.906,수직 하향에 가까움,29.0
NOMAD Actor062_a10,85,-0.2258,0.868,수직 하향에 가까움,205.0
NOMAD Actor062_a30,85,-0.1083,0.968,수직 하향에 가까움,74.0
NOMAD Actor062_a50,85,0.1437,1.25,수직 하향에 가까움,41.0
NOMAD Actor062_a70,85,0.391,1.648,비스듬(아래가 큼),34.0
NOMAD Actor062_a90,85,-0.0688,0.98,수직 하향에 가까움,23.0
NOMAD Actor063_a10,85,0.0232,0.808,수직 하향에 가까움,267.0
NOMAD Actor063_a30,85,0.1637,1.042,수직 하향에 가까움,107.0
NOMAD Actor063_a50,85,-0.0125,1.08,수직 하향에 가까움,54.0
NOMAD Actor063_a70,85,-0.1785,1.0,수직 하향에 가까움,43.0
NOMAD Actor063_a90,85,-0.0419,0.875,수직 하향에 가까움,35.0
NOMAD Actor064_a10,85,0.7511,1.889,비스듬(아래가 큼),152.0
NOMAD Actor064_a30,85,0.1286,1.224,수직 하향에 가까움,74.0
NOMAD Actor064_a50,85,0.3553,0.99,비스듬(아래가 큼),52.0
NOMAD Actor064_a70,85,0.3956,1.101,비스듬(아래가 큼),37.0
NOMAD Actor064_a90,85,0.1527,0.967,수직 하향에 가까움,30.0
NOMAD Actor065_a10,85,0.0085,0.953,수직 하향에 가까움,197.0
NOMAD Actor065_a30,85,0.0419,0.843,수직 하향에 가까움,81.0
NOMAD Actor065_a50,85,0.2214,1.17,수직 하향에 가까움,50.0
NOMAD Actor065_a70,85,0.1416,0.541,수직 하향에 가까움,27.0
NOMAD Actor065_a90,85,0.2513,1.283,수직 하향에 가까움,23.0
NOMAD Actor066_a10,85,-0.0521,0.544,수직 하향에 가까움,303.0
NOMAD Actor066_a30,85,0.1227,0.708,수직 하향에 가까움,97.0
NOMAD Actor066_a50,85,0.0329,0.732,수직 하향에 가까움,62.0
NOMAD Actor066_a70,85,0.2786,0.947,수직 하향에 가까움,39.0
NOMAD Actor066_a90,85,0.2462,1.065,수직 하향에 가까움,31.0
NOMAD Actor067_a10,85,0.2918,1.806,수직 하향에 가까움,204.0
NOMAD Actor067_a30,85,0.3096,1.814,비스듬(아래가 큼),74.0
NOMAD Actor067_a50,85,0.2622,1.519,수직 하향에 가까움,41.0
NOMAD Actor067_a70,85,0.1601,1.372,수직 하향에 가까움,27.0
NOMAD Actor067_a90,85,-0.0438,1.143,수직 하향에 가까움,18.0
NOMAD Actor068_a10,85,0.1374,1.053,수직 하향에 가까움,185.0
NOMAD Actor068_a30,85,0.0008,1.157,수직 하향에 가까움,67.0
NOMAD Actor068_a50,85,-0.1029,0.989,수직 하향에 가까움,44.0
NOMAD Actor068_a70,85,-0.0338,1.203,수직 하향에 가까움,31.0
NOMAD Actor068_a90,85,-0.1235,0.981,수직 하향에 가까움,25.0
NOMAD Actor069_a10,85,0.138,1.127,수직 하향에 가까움,258.0
NOMAD Actor069_a30,85,0.0576,1.02,수직 하향에 가까움,100.0
NOMAD Actor069_a50,85,-0.1232,0.823,수직 하향에 가까움,56.0
NOMAD Actor069_a70,85,-0.0689,0.988,수직 하향에 가까움,40.0
NOMAD Actor069_a90,85,0.0422,1.061,수직 하향에 가까움,34.0
NOMAD Actor070_a10,85,0.3065,2.911,비스듬(아래가 큼),159.0
NOMAD Actor070_a30,85,0.4136,3.516,비스듬(아래가 큼),77.0
NOMAD Actor070_a50,85,0.3583,3.14,비스듬(아래가 큼),56.0
NOMAD Actor070_a70,85,0.2307,1.045,수직 하향에 가까움,39.0
NOMAD Actor070_a90,85,0.0432,1.074,수직 하향에 가까움,32.0
NOMAD Actor071_a10,85,0.3829,1.33,비스듬(아래가 큼),232.0
